pickup_date,weekday,zone,slot,PickUpRides
2016-01-01,Friday,3,1,1777
2016-01-01,Friday,6,1,3548
2016-01-01,Friday,10,1,2220
2016-01-01,Friday,9,1,1331
2016-01-01,Friday,14,1,2525
2016-01-01,Friday,2,1,2715
2016-01-01,Friday,8,1,1320
2016-01-01,Friday,12,1,2550
2016-01-01,Friday,4,1,1767
2016-01-01,Friday,13,1,517
2016-01-01,Friday,11,1,968
2016-01-01,Friday,1,1,730
2016-01-01,Friday,7,1,278
2016-01-01,Friday,15,1,71
2016-01-01,Friday,8,2,230
2016-01-01,Friday,12,2,1043
2016-01-01,Friday,10,2,664
2016-01-01,Friday,14,2,1465
2016-01-01,Friday,2,2,876
2016-01-01,Friday,6,2,1740
2016-01-01,Friday,1,2,343
2016-01-01,Friday,3,2,864
2016-01-01,Friday,11,2,458
2016-01-01,Friday,4,2,760
2016-01-01,Friday,9,2,308
2016-01-01,Friday,13,2,172
2016-01-01,Friday,7,2,141
2016-01-01,Friday,15,2,46
2016-01-01,Friday,14,3,357
2016-01-01,Friday,2,3,535
2016-01-01,Friday,13,3,77
2016-01-01,Friday,7,3,46
2016-01-01,Friday,11,3,107
2016-01-01,Friday,4,3,279
2016-01-01,Friday,8,3,146
2016-01-01,Friday,1,3,94
2016-01-01,Friday,10,3,258
2016-01-01,Friday,12,3,312
2016-01-01,Friday,6,3,287
2016-01-01,Friday,9,3,110
2016-01-01,Friday,3,3,255
2016-01-01,Friday,15,3,12
2016-01-01,Friday,10,4,548
2016-01-01,Friday,12,4,528
2016-01-01,Friday,2,4,1208
2016-01-01,Friday,11,4,169
2016-01-01,Friday,14,4,595
2016-01-01,Friday,3,4,221
2016-01-01,Friday,9,4,193
2016-01-01,Friday,4,4,466
2016-01-01,Friday,8,4,400
2016-01-01,Friday,1,4,218
2016-01-01,Friday,7,4,83
2016-01-01,Friday,13,4,128
2016-01-01,Friday,6,4,362
2016-01-01,Friday,15,4,35
2016-01-01,Friday,1,5,353
2016-01-01,Friday,6,5,782
2016-01-01,Friday,14,5,1001
2016-01-01,Friday,2,5,1674
2016-01-01,Friday,8,5,766
2016-01-01,Friday,4,5,597
2016-01-01,Friday,10,5,878
2016-01-01,Friday,11,5,270
2016-01-01,Friday,12,5,873
2016-01-01,Friday,7,5,118
2016-01-01,Friday,3,5,383
2016-01-01,Friday,9,5,378
2016-01-01,Friday,13,5,199
2016-01-01,Friday,15,5,51
2016-01-01,Friday,2,6,1424
2016-01-01,Friday,6,6,1279
2016-01-01,Friday,4,6,554
2016-01-01,Friday,14,6,952
2016-01-01,Friday,8,6,660
2016-01-01,Friday,3,6,441
2016-01-01,Friday,10,6,873
2016-01-01,Friday,12,6,903
2016-01-01,Friday,1,6,344
2016-01-01,Friday,13,6,250
2016-01-01,Friday,11,6,211
2016-01-01,Friday,9,6,403
2016-01-01,Friday,7,6,122
2016-01-01,Friday,15,6,37
2016-01-02,Saturday,14,1,722
2016-01-02,Saturday,10,1,438
2016-01-02,Saturday,4,1,308
2016-01-02,Saturday,6,1,1329
2016-01-02,Saturday,9,1,175
2016-01-02,Saturday,2,1,583
2016-01-02,Saturday,11,1,131
2016-01-02,Saturday,3,1,330
2016-01-02,Saturday,12,1,619
2016-01-02,Saturday,1,1,230
2016-01-02,Saturday,8,1,208
2016-01-02,Saturday,7,1,75
2016-01-02,Saturday,13,1,137
2016-01-02,Saturday,15,1,17
2016-01-02,Saturday,6,2,368
2016-01-02,Saturday,4,2,146
2016-01-02,Saturday,10,2,131
2016-01-02,Saturday,14,2,417
2016-01-02,Saturday,12,2,196
2016-01-02,Saturday,2,2,303
2016-01-02,Saturday,3,2,76
2016-01-02,Saturday,1,2,73
2016-01-02,Saturday,9,2,28
2016-01-02,Saturday,8,2,41
2016-01-02,Saturday,11,2,63
2016-01-02,Saturday,7,2,34
2016-01-02,Saturday,13,2,35
2016-01-02,Saturday,15,2,6
2016-01-02,Saturday,4,3,454
2016-01-02,Saturday,12,3,465
2016-01-02,Saturday,10,3,399
2016-01-02,Saturday,9,3,148
2016-01-02,Saturday,2,3,1293
2016-01-02,Saturday,8,3,361
2016-01-02,Saturday,7,3,72
2016-01-02,Saturday,11,3,131
2016-01-02,Saturday,3,3,159
2016-01-02,Saturday,1,3,150
2016-01-02,Saturday,14,3,486
2016-01-02,Saturday,6,3,247
2016-01-02,Saturday,13,3,84
2016-01-02,Saturday,15,3,23
2016-01-02,Saturday,4,4,574
2016-01-02,Saturday,2,4,2132
2016-01-02,Saturday,11,4,215
2016-01-02,Saturday,3,4,283
2016-01-02,Saturday,6,4,533
2016-01-02,Saturday,12,4,734
2016-01-02,Saturday,9,4,371
2016-01-02,Saturday,8,4,824
2016-01-02,Saturday,14,4,770
2016-01-02,Saturday,10,4,711
2016-01-02,Saturday,1,4,366
2016-01-02,Saturday,13,4,135
2016-01-02,Saturday,7,4,120
2016-01-02,Saturday,15,4,33
2016-01-02,Saturday,10,5,1102
2016-01-02,Saturday,12,5,1117
2016-01-02,Saturday,4,5,707
2016-01-02,Saturday,1,5,586
2016-01-02,Saturday,11,5,304
2016-01-02,Saturday,2,5,2602
2016-01-02,Saturday,7,5,135
2016-01-02,Saturday,9,5,533
2016-01-02,Saturday,14,5,1238
2016-01-02,Saturday,6,5,1025
2016-01-02,Saturday,8,5,1147
2016-01-02,Saturday,3,5,350
2016-01-02,Saturday,13,5,170
2016-01-02,Saturday,15,5,37
2016-01-02,Saturday,6,6,1729
2016-01-02,Saturday,2,6,2078
2016-01-02,Saturday,13,6,234
2016-01-02,Saturday,3,6,556
2016-01-02,Saturday,14,6,1132
2016-01-02,Saturday,12,6,1179
2016-01-02,Saturday,10,6,1458
2016-01-02,Saturday,9,6,657
2016-01-02,Saturday,4,6,654
2016-01-02,Saturday,1,6,470
2016-01-02,Saturday,8,6,927
2016-01-02,Saturday,11,6,294
2016-01-02,Saturday,7,6,164
2016-01-02,Saturday,15,6,45
2016-01-03,Sunday,6,1,2518
2016-01-03,Sunday,4,1,426
2016-01-03,Sunday,14,1,1037
2016-01-03,Sunday,2,1,1012
2016-01-03,Sunday,9,1,440
2016-01-03,Sunday,12,1,1110
2016-01-03,Sunday,8,1,389
2016-01-03,Sunday,11,1,194
2016-01-03,Sunday,10,1,958
2016-01-03,Sunday,1,1,303
2016-01-03,Sunday,3,1,583
2016-01-03,Sunday,13,1,138
2016-01-03,Sunday,7,1,96
2016-01-03,Sunday,15,1,24
2016-01-03,Sunday,1,2,100
2016-01-03,Sunday,12,2,354
2016-01-03,Sunday,6,2,580
2016-01-03,Sunday,10,2,290
2016-01-03,Sunday,2,2,315
2016-01-03,Sunday,14,2,533
2016-01-03,Sunday,11,2,85
2016-01-03,Sunday,4,2,169
2016-01-03,Sunday,3,2,171
2016-01-03,Sunday,9,2,47
2016-01-03,Sunday,7,2,43
2016-01-03,Sunday,8,2,87
2016-01-03,Sunday,15,2,14
2016-01-03,Sunday,13,2,47
2016-01-03,Sunday,2,3,1274
2016-01-03,Sunday,11,3,105
2016-01-03,Sunday,12,3,399
2016-01-03,Sunday,8,3,380
2016-01-03,Sunday,4,3,451
2016-01-03,Sunday,13,3,92
2016-01-03,Sunday,14,3,454
2016-01-03,Sunday,10,3,390
2016-01-03,Sunday,9,3,139
2016-01-03,Sunday,6,3,238
2016-01-03,Sunday,1,3,135
2016-01-03,Sunday,3,3,187
2016-01-03,Sunday,7,3,58
2016-01-03,Sunday,15,3,24
2016-01-03,Sunday,8,4,811
2016-01-03,Sunday,12,4,701
2016-01-03,Sunday,11,4,179
2016-01-03,Sunday,14,4,765
2016-01-03,Sunday,6,4,502
2016-01-03,Sunday,9,4,367
2016-01-03,Sunday,2,4,1896
2016-01-03,Sunday,3,4,286
2016-01-03,Sunday,10,4,743
