latitude,longitude,cluster.size,median_distance,mean_distance,cluster,Label,type,textAddress
40.67954794,-73.95357502,169,2.736,2.956,1,,1,"1306 Bedford Ave, Brooklyn, NY 11216"
40.81386912,-73.95364712,5940,0.5282,0.522,2,,1,"449 W 128th St, New York, NY 10027"
40.83025514,-73.91505904,1252,0.9174,0.9329,3,,1,"280 E 166th St, Bronx, NY 10456"
40.86173615,-73.91078905,779,1.255,1.279,4,,1,"245 W Fordham Rd, Bronx, NY 10468"
40.83294268,-73.86853057,513,1.519,1.604,5,,1,"1305-1307 Commonwealth Ave, Bronx, NY 10472"
40.80374092,-73.95707691,6925,0.4991,0.499,6,,1,"313 W 114th St, New York, NY 10026"
40.79597882,-73.94111048,6943,0.5796,0.5576,7,,1,"226 E 113th St, New York, NY 10029"
40.77321853,-73.98288749,2417,0.515,0.5118,8,,1,"132 W 65th St, New York, NY 10023"
40.75908117,-73.91139065,324,1.649,1.668,9,,1,"46-09 31st Ave, Long Island City, NY 11103"
40.68702857,-73.81238084,41,4.832,4.4,10,,1,"108-0-108-98 132nd St, South Richmond Hill, NY 11419"
40.76080076,-73.9695856,2302,0.6464,0.6569,11,,1,"696 Lexington Ave, New York, NY 10022"
40.84669912,-73.93677283,1518,0.7509,0.7719,12,,1,"61 Wadsworth Ave, New York, NY 10033"
40.78547834,-73.97587913,3523,0.4422,0.437,13,,1,"168 W 83rd St, New York, NY 10024"
40.76925609,-73.86654307,392,0.647,0.976,14,,1,"10702 Grand Central Pkwy, East Elmhurst, NY 11369"
40.78367992,-73.95136331,6375,0.5289,0.5158,15,,1,"181 E 93rd St, New York, NY 10128"
40.72074957,-73.99600878,693,1.111,1.248,16,,1,"185 Mott St, New York, NY 10012"
40.88469988,-73.87707071,188,1.901,2.372,17,,1,"3698 Bainbridge Ave, Bronx, NY 10470"
40.740108,-73.98712227,1218,0.8929,0.9383,18,,1,"48 E 23rd St, New York, NY 10010"
40.80767077,-73.9408099,8485,0.4373,0.4903,19,,1,"2067 5th Ave, New York, NY 10035"
40.77288081,-73.95665544,4719,0.5515,0.539,20,,1,"244 E 78th St, New York, NY 10075"
40.75667722,-73.99110187,1740,0.7458,0.7425,21,,1,"327 W 41st St, New York, NY 10036"
40.79571039,-73.96836059,5289,0.4747,0.4525,22,,1,"160 W 100th St, New York, NY 10025"
40.82438872,-73.9430389,6598,0.6229,0.6228,23,,1,"267 Edgecombe Ave, New York, NY 10031"
40.81237519,-73.91848186,1403,0.7375,0.7941,24,,1,"447 E 144th St, Bronx, NY 10454"
40.69204349,-74.17791308,23,0.3286,0.2873,25,,1,"Express Rd, Newark, NJ 07114"
40.80194303,-73.94907667,1,1.106,1.094,2,CENTER,2,"55 W 116th St, New York, NY 10026"
