weekday,slot,Maxdemand,,weekday,slot,Maxdemand,,weekday,slot,Maxdemand,,weekday,slot,Maxdemand
Friday,1,22317,,Saturday,1,11299,,Sunday,1,13114,,Monday,1,6605
Friday,2,9110,,Saturday,2,3800,,Sunday,2,4956,,Monday,2,3206
Friday,3,9435,,Saturday,3,7469,,Sunday,3,5804,,Monday,3,9211
Friday,4,9084,,Saturday,4,11996,,Sunday,4,9963,,Monday,4,8463
Friday,5,15956,,Saturday,5,16978,,Sunday,5,13492,,Monday,5,12064
Friday,6,15931,,Saturday,6,16872,,Sunday,6,11465,,Monday,6,8043
,,,,,,,,,,,,,,
weekday,slot,Maxdemand,,weekday,slot,Maxdemand,,weekday,slot,Maxdemand,,,,
Tuesday,1,2635,,Wednesday,1,3251,,Thursday,1,3761,,,,
Tuesday,2,3084,,Wednesday,2,2992,,Thursday,2,3194,,,,
Tuesday,3,9275,,Wednesday,3,9667,,Thursday,3,9592,,,,
Tuesday,4,9149,,Wednesday,4,11538,,Thursday,4,9323,,,,
Tuesday,5,13292,,Wednesday,5,12861,,Thursday,5,15161,,,,
Tuesday,6,9902,,Wednesday,6,10475,,Thursday,6,12140,,,,
