pickup_date,weekday,PerDayRevenue
01-01-2016,Friday,622289.86
02-01-2016,Saturday,441349.56
03-01-2016,Sunday,407674.51
04-01-2016,Monday,401256.99
05-01-2016,Tuesday,407869.02
06-01-2016,Wednesday,410738.87
07-01-2016,Thursday,415838.42
08-01-2016,Friday,503954.09
09-01-2016,Saturday,551843.46
10-01-2016,Sunday,468535.04
11-01-2016,Monday,400729.19
12-01-2016,Tuesday,407558.18
13-01-2016,Wednesday,445629.9
14-01-2016,Thursday,456244.72
15-01-2016,Friday,543152.71
16-01-2016,Saturday,585271.29
17-01-2016,Sunday,498884.29
18-01-2016,Monday,349731.86
19-01-2016,Tuesday,431798.39
20-01-2016,Wednesday,439402.14
21-01-2016,Thursday,491190.13
22-01-2016,Friday,578099.25
23-01-2016,Saturday,106979.15
24-01-2016,Sunday,217773.69
25-01-2016,Monday,479394.94
26-01-2016,Tuesday,485432.34
27-01-2016,Wednesday,479535.82
28-01-2016,Thursday,495177.14
29-01-2016,Friday,584969.93
30-01-2016,Saturday,670104.36
31-01-2016,Sunday,512187.81
01-02-2016,Monday,425221.09
02-02-2016,Tuesday,419410.73
03-02-2016,Wednesday,457666.98
04-02-2016,Thursday,486210.86
05-02-2016,Friday,531588.98
06-02-2016,Saturday,645835.71
07-02-2016,Sunday,543915.75
08-02-2016,Monday,384883.94
09-02-2016,Tuesday,402088.29
10-02-2016,Wednesday,458696.99
11-02-2016,Thursday,549753.59
12-02-2016,Friday,628954.38
13-02-2016,Saturday,675055.99
14-02-2016,Sunday,544858.27
15-02-2016,Monday,408402.66
16-02-2016,Tuesday,423442.25
17-02-2016,Wednesday,444741.17
18-02-2016,Thursday,496973.93
19-02-2016,Friday,569162.8
20-02-2016,Saturday,687813.01
21-02-2016,Sunday,537922.36
22-02-2016,Monday,402672.3
23-02-2016,Tuesday,482674.87
24-02-2016,Wednesday,494593.85
25-02-2016,Thursday,521164.64
26-02-2016,Friday,622740.61
27-02-2016,Saturday,680817.16
28-02-2016,Sunday,529965.97
29-02-2016,Monday,429853.87
01-03-2016,Tuesday,452259.7
02-03-2016,Wednesday,484249.38
03-03-2016,Thursday,525443.44
04-03-2016,Friday,592843.81
05-03-2016,Saturday,683745.08
06-03-2016,Sunday,527666.28
07-03-2016,Monday,409274.07
08-03-2016,Tuesday,438042.35
09-03-2016,Wednesday,468671.73
10-03-2016,Thursday,505113.8
11-03-2016,Friday,605153.9
12-03-2016,Saturday,690335.81
13-03-2016,Sunday,513215.98
14-03-2016,Monday,457637.13
15-03-2016,Tuesday,424877.77
16-03-2016,Wednesday,479293.89
17-03-2016,Thursday,514735.35
18-03-2016,Friday,600452.5
19-03-2016,Saturday,649596.02
